Title,Type,Phase,Priority,Hours,Status,Description
"Fix npm vulnerabilities (3 high/moderate)",Task,Phase 0,Critical,1,Pending,"Resolve undici, form-data, js-yaml before publishing to npm"
"Assign blocker owners",Task,Phase 0,Critical,1,Pending,"Assign 1 owner per critical blocker"
"Create GitHub Project board",Task,Phase 0,Critical,1,Pending,"Set up project tracking with phases and milestones"
"Automated release workflow (GitHub Actions)",Task,Phase 1,Critical,4,Pending,"Semantic versioning + npm publish + GitHub release on version bump"
"WCAG compliance matrix",Task,Phase 1,Critical,4,Pending,"Document WCAG 2.1 AA compliance status for each interactive component"
"Accessibility tests in CI (axe + lighthouse)",Task,Phase 1,Critical,6,Pending,"Add automated accessibility testing to ci:check (blocking on failure)"
"CONTRIBUTING.md",Task,Phase 1,Critical,3,Pending,"Setup guide, PR process, review criteria, development workflow"
"React component API documentation",Task,Phase 1,Important,6,Pending,"Prop interfaces, variants, usage examples for all 18 components"
"MCP production hardening (edge cases + security)",Task,Phase 2,Important,12,Pending,"Comprehensive test suite for drift detection, remediation, error recovery; security audit"
"Snapshot tests (regression prevention)",Task,Phase 2,Important,8,Pending,"Visual consistency and DOM regression tests for all components"
"Token consumption guide (CSS/JSON/TS/YAML)",Task,Phase 3,Important,4,Pending,"How to use tokens in different formats and frameworks"
"Theming guide (brand/mode switching)",Task,Phase 3,Important,2,Pending,"Runtime guide for data-brand and data-mode consumer switching"
"Node.js version support matrix",Task,Phase 3,Important,2,Pending,"Officially document Node 18, 20, 22 support"
"Tag v1.0.0 and publish to npm",Task,Phase 4,Critical,1,Pending,"Create git tag, publish to npm, publish release notes"
"Web Components migration",Epic,Future,Deferred,80+,Deferred,"Ecosystem layer - post-v1.0. React wrappers sufficient for v1.0."
"Modal component",Epic,Future,Deferred,12,Deferred,"Feature addition - not required for v1.0. Foundation supports composition."
"Notification component",Epic,Future,Deferred,10,Deferred,"Feature addition - not required for v1.0."
"Code Connect integration",Epic,Future,Deferred,16,Deferred,"Figma live linking - nice-to-have, MCP is superior long-term approach."
"ADR migration",Epic,Future,Deferred,8,Deferred,"Maintenance task - historic decisions to ADR format. Post-v1.0."
"Framework adapters (Vue, Svelte, Angular)",Epic,Future,Deferred,40+,Deferred,"Community-driven - CSS/JSON tokens are framework-agnostic."
